dteday,yr,mnth,cnt
2010-12-27,0,1,1786
2011-01-03,0,1,9408
2011-01-10,0,1,9025
2011-01-17,0,1,8770
2011-01-24,0,1,7699
2011-01-31,0,1,10273
2011-02-07,0,2,11192
2011-02-14,0,2,14692
2011-02-21,0,2,12113
2011-02-28,0,2,11742
2011-03-07,0,3,13045
2011-03-14,0,3,17865
2011-03-21,0,3,15165
2011-03-28,0,3,15402
2011-04-04,0,4,17680
2011-04-11,0,4,18476
2011-04-18,0,4,24676
2011-04-25,0,4,29661
2011-05-02,0,5,29573
2011-05-09,0,5,30278
2011-05-16,0,5,31893
2011-05-23,0,5,32646
2011-05-30,0,5,32582
2011-06-06,0,6,31709
2011-06-13,0,6,33565
2011-06-20,0,6,33640
2011-06-27,0,6,35226
2011-07-04,0,7,34186
2011-07-11,0,7,34533
2011-07-18,0,7,27393
2011-07-25,0,7,30099
2011-08-01,0,8,30206
2011-08-08,0,8,31375
2011-08-15,0,8,30779
2011-08-22,0,8,29435
2011-08-29,0,8,34162
2011-09-05,0,9,23834
2011-09-12,0,9,31465
2011-09-19,0,9,30155
2011-09-26,0,9,28045
2011-10-03,0,10,33522
2011-10-10,0,10,28911
2011-10-17,0,10,28930
2011-10-24,0,10,23132
2011-10-31,0,10,27518
2011-11-07,0,11,26434
2011-11-14,0,11,24126
2011-11-21,0,11,17364
2011-11-28,0,11,25160
2011-12-05,0,12,19985
2011-12-12,0,12,23029
2011-12-19,0,12,16855
2011-12-26,0,12,14982
2012-01-02,1,1,21871
2012-01-09,1,1,20266
2012-01-16,1,1,18342
2012-01-23,1,1,25838
2012-01-30,1,1,26403
2012-02-06,1,2,22320
2012-02-13,1,2,25679
2012-02-20,1,2,26349
2012-02-27,1,2,26192
2012-03-05,1,3,31185
2012-03-12,1,3,41755
2012-03-19,1,3,42077
2012-03-26,1,3,40226
2012-04-02,1,4,44087
2012-04-09,1,4,42764
2012-04-16,1,4,38934
2012-04-23,1,4,36826
2012-04-30,1,4,43440
2012-05-07,1,5,43867
2012-05-14,1,5,45828
2012-05-21,1,5,42323
2012-05-28,1,5,45867
2012-06-04,1,6,50380
2012-06-11,1,6,48765
2012-06-18,1,6,44212
2012-06-25,1,6,45116
2012-07-02,1,7,42250
2012-07-09,1,7,48068
2012-07-16,1,7,43659
2012-07-23,1,7,49778
2012-07-30,1,7,48625
2012-08-06,1,8,47735
2012-08-13,1,8,48181
2012-08-20,1,8,47566
2012-08-27,1,8,48667
2012-09-03,1,9,47920
2012-09-10,1,9,55022
2012-09-17,1,9,50722
2012-09-24,1,9,52959
2012-10-01,1,10,45948
2012-10-08,1,10,48161
2012-10-15,1,10,48717
2012-10-22,1,10,49331
2012-10-29,1,10,28762
2012-11-05,1,11,40675
2012-11-12,1,11,37299
2012-11-19,1,11,27315
2012-11-26,1,11,35137
2012-12-03,1,12,37762
2012-12-10,1,12,35966
2012-12-17,1,12,26696
2012-12-24,1,12,10720
2012-12-31,1,12,2729
